playerId,season,name,team,position,situation,games_played,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts
8481014,2020,Alexander Romanov,MTL,D,other,54,1616.0,29.0,9.9,0.29,0.25,0.39,0.42,0.37,0.42,64.0,1.44,0.1,0.1,0.26,0.04,0.85,0.65,0.1,0.1,0.1,0.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,0.03,0.0,0.0,0.13,0.13,0.13,29.0,4.0,1.0,9.0,15.0,5.0,4.0,5.0,15.0,0.0,0.0,2921.0,0.0,0.0,0.0,3.0,9.84,1.76,1.55,1.76,1.55,7.0,8.0,5.0,20.0,1.0,0.0,0.0,10.0,3.0,2.0,0.45,0.42,0.9,0.0,0.0,1.0,20.0,15.0,15.0,0.21,0.0,0.0,1.97,1.97,1.75,18.46,4.41,4.31,4.41,4.31,14.0,12.0,5.0,31.0,2.0,1.0,0.0,12.0,8.0,6.0,0.55,0.96,2.89,0.0,0.0,2.0,31.0,26.0,26.0,0.36,0.21,0.21,4.56,4.56,4.44,2.23,6.62,35.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
8481014,2020,Alexander Romanov,MTL,D,all,54,55938.0,1076.0,19.12,0.49,0.49,0.54,0.53,0.52,0.52,238.0,76.22,2.66,4.47,21.83,2.54,47.52,33.98,2.59,2.62,2.56,3.0,2.0,71.0,42.0,78.0,191.0,6.0,1.0,6.0,0.0,23.0,4.0,37.0,42.0,70.0,112.0,9.0,21.0,0.0,138.0,8.0,49.0,109.0,4.0,0.0,2.1,0.56,0.0,1.0,0.0,0.0,190.35,113.0,112.17,45.0,0.92,0.61,0.24,3.33,3.32,3.25,1076.0,110.0,83.0,152.0,731.0,169.0,180.0,139.0,588.0,0.0,0.0,141416.0,21.0,19.0,8.0,60.0,461.96,41.74,40.6,41.78,40.64,454.0,186.0,270.0,910.0,40.0,25.0,6.0,470.0,130.0,40.0,13.62,15.99,12.13,8.0,16.0,16.0,911.16,640.0,639.02,6.75,5.24,5.3,43.19,43.11,42.36,423.7,42.98,41.12,43.38,41.52,416.0,170.0,201.0,787.0,43.0,24.0,3.0,420.0,119.0,47.0,12.25,14.09,16.64,13.0,17.0,13.0,794.89,586.0,592.22,6.43,6.02,6.04,43.37,43.89,42.47,107.75,113.65,2249.0,1990.0,0.0,0.0,0.0,0.0,0.0,0.0
8481014,2020,Alexander Romanov,MTL,D,5on5,54,49666.0,944.0,19.12,0.54,0.53,0.55,0.55,0.53,0.54,231.0,68.87,2.45,3.91,20.27,2.32,42.9,30.16,2.39,2.4,2.35,2.0,2.0,64.0,38.0,75.0,177.0,5.0,1.0,6.0,0.0,22.0,3.0,33.0,37.0,63.0,101.0,9.0,21.0,0.0,134.0,8.0,45.0,98.0,4.0,0.0,1.89,0.56,0.0,1.0,0.0,0.0,176.35,102.0,101.17,41.0,0.78,0.61,0.24,2.98,2.96,2.91,944.0,92.0,58.0,137.0,657.0,150.0,163.0,111.0,520.0,0.0,0.0,112893.0,21.0,19.0,8.0,47.0,413.22,35.6,34.75,35.64,34.79,406.0,165.0,247.0,818.0,34.0,24.0,6.0,419.0,119.0,33.0,11.89,14.68,9.03,7.0,16.0,11.0,819.16,571.0,570.02,5.81,4.99,5.05,36.35,36.27,35.8,361.3,29.95,29.3,30.35,29.7,353.0,147.0,178.0,678.0,34.0,18.0,2.0,372.0,100.0,28.0,10.76,11.83,7.35,12.0,16.0,6.0,685.89,500.0,506.22,5.08,3.96,3.98,31.05,31.56,31.22,75.28,67.74,1800.0,1496.0,2.61,0.24,64.0,9.0,50.0,9.0
8481014,2020,Alexander Romanov,MTL,D,4on5,54,2452.0,64.0,12.67,0.09,0.11,0.14,0.15,0.17,0.14,173.0,1.38,0.03,0.04,0.25,0.04,0.47,1.16,0.03,0.03,0.03,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.01,0.0,0.0,0.04,0.04,0.04,64.0,1.0,22.0,2.0,39.0,4.0,10.0,15.0,35.0,0.0,0.0,8791.0,0.0,0.0,0.0,0.0,7.28,0.64,0.64,0.64,0.64,6.0,4.0,1.0,11.0,1.0,0.0,0.0,7.0,3.0,0.0,0.31,0.33,0.0,1.0,0.0,0.0,11.0,10.0,10.0,0.08,0.0,0.0,0.72,0.72,0.72,36.17,6.54,6.04,6.54,6.04,41.0,9.0,17.0,67.0,7.0,5.0,1.0,31.0,10.0,9.0,0.78,1.18,4.59,1.0,1.0,5.0,67.0,50.0,50.0,0.85,1.85,1.85,5.54,5.54,5.21,2.7,21.17,44.0,256.0,0.01,0.0,2.0,0.0,1.0,0.0
8481014,2020,Alexander Romanov,MTL,D,5on4,54,2204.0,39.0,4.73,0.88,0.92,0.9,0.87,0.89,0.85,49.0,3.82,0.03,0.39,0.9,0.11,2.96,1.6,0.03,0.03,0.03,1.0,0.0,4.0,2.0,2.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,8.0,6.0,6.0,1.0,0.09,0.0,0.0,0.12,0.12,0.12,39.0,13.0,2.0,4.0,20.0,10.0,3.0,8.0,18.0,0.0,0.0,3899.0,0.0,0.0,0.0,6.0,28.68,3.28,3.2,3.28,3.2,31.0,9.0,17.0,57.0,3.0,1.0,0.0,32.0,4.0,4.0,0.85,0.45,1.97,0.0,0.0,3.0,57.0,40.0,40.0,0.6,0.25,0.25,3.63,3.63,3.57,3.77,0.43,0.43,0.43,0.43,5.0,0.0,1.0,6.0,0.0,0.0,0.0,4.0,0.0,1.0,0.1,0.0,0.33,0.0,0.0,0.0,6.0,5.0,5.0,0.05,0.0,0.0,0.48,0.48,0.47,5.35,0.45,85.0,13.0,0.0,0.03,0.0,1.0,0.0,1.0
8481014,2021,Alexander Romanov,MTL,D,other,79,2669.0,49.0,6.5,0.52,0.4,0.29,0.51,0.32,0.47,129.0,1.56,0.18,0.14,0.21,0.04,0.89,0.54,0.18,0.18,0.18,0.0,3.0,1.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,2.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.04,0.0,0.0,0.22,0.22,0.22,49.0,3.0,22.0,5.0,19.0,5.0,11.0,8.0,25.0,0.0,0.0,4701.0,0.0,0.0,0.0,4.0,21.53,6.03,5.96,6.03,5.96,24.0,5.0,2.0,31.0,8.0,2.0,0.0,10.0,10.0,9.0,0.31,1.41,4.31,0.0,2.0,6.0,31.0,29.0,29.0,0.34,0.55,0.55,5.81,5.81,5.81,46.41,5.67,5.3,5.67,5.3,46.0,16.0,15.0,77.0,9.0,4.0,2.0,42.0,14.0,6.0,1.72,1.77,2.19,1.0,4.0,4.0,77.0,62.0,62.0,1.07,1.4,1.4,5.35,5.35,5.12,9.99,15.16,121.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0
8481014,2021,Alexander Romanov,MTL,D,all,79,96669.0,1780.0,13.02,0.4,0.46,0.42,0.49,0.41,0.48,233.0,99.57,3.32,5.58,29.65,3.66,60.58,45.21,3.27,3.29,3.24,2.0,8.0,107.0,41.0,96.0,244.0,13.0,3.0,1.0,1.0,38.0,3.0,42.0,61.0,104.0,145.0,17.0,43.0,0.0,227.0,24.0,78.0,143.0,5.0,0.0,2.83,0.49,0.0,2.0,1.0,0.0,238.92,148.0,145.22,72.0,1.12,0.19,0.26,4.17,4.14,4.09,1780.0,141.0,286.0,304.0,1049.0,236.0,276.0,275.0,993.0,0.0,0.0,190864.0,43.0,29.0,10.0,144.0,689.27,60.42,58.83,59.95,58.35,711.0,250.0,332.0,1293.0,65.0,51.0,11.0,730.0,176.0,55.0,21.98,22.29,16.16,27.0,20.0,18.0,1266.81,961.0,944.38,9.46,8.24,8.33,61.56,61.05,60.16,988.52,91.08,87.7,92.31,88.89,986.0,386.0,442.0,1814.0,113.0,62.0,13.0,995.0,298.0,79.0,29.97,35.7,25.4,32.0,51.0,30.0,1859.19,1372.0,1400.45,16.38,11.76,11.68,95.77,97.04,94.58,148.11,175.8,2900.0,2994.0,0.0,0.0,0.0,0.0,0.0,0.0
